USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0 172404  9204 ?        Ss   ago24   0:21 /sbin/init splash
root        1229  0.0  0.0  14064  2596 ?        Ss   ago24   0:02 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
nvidia-+    1236  0.0  0.0   5260   344 ?        Ss   ago24   0:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
avahi       1237  0.0  0.0   8348   324 ?        S    ago24   0:00 avahi-daemon: chroot helper
root        1279  0.0  0.0 3518980 2900 ?        Sl   ago24   1:31 /opt/forticlient/confighandler
root        1297  0.0  0.0 315232  1816 ?        Ssl  ago24   0:00 /usr/sbin/ModemManager
root        1298  0.0  0.0 239136  1084 ?        Ssl  ago24   0:47 /usr/libexec/boltd
root        1330  0.1  0.0 1654560 13584 ?       Ssl  ago24  10:59 /usr/bin/containerd
root        1336  0.0  0.1 886872 24288 ?        Ssl  ago24   0:34 /usr/bin/anydesk --service
root        1374  0.0  0.0  31676  2188 ?        Ss   ago24   0:00 /opt/eset/eea/sbin/startd
redis       1437  0.1  0.0  52804  1772 ?        Ssl  ago24  12:45 /usr/bin/redis-server 127.0.0.1:6379
root        1479  0.0  0.0 118056  7748 ?        Ssl  ago24   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1495  0.0  0.0 239912  1948 ?        Ssl  ago24   0:00 /usr/sbin/gdm3
postgres    1500  0.0  0.0 218484 13776 ?        Ss   ago24   0:06 /usr/lib/postgresql/12/bin/postgres -D /var/lib/postgresql/12/main -c config_file=/etc/postgresql/12/main/postgresql.conf
root        1506  0.0  0.0 462544  5748 ?        Sl   ago24   0:00 gdm-session-worker [pam/gdm-autologin]
postgres    1522  0.0  0.0 218608  2492 ?        Ss   ago24   0:00 postgres: 12/main: checkpointer   
postgres    1523  0.0  0.0 218624  2364 ?        Ss   ago24   0:06 postgres: 12/main: background writer   
postgres    1524  0.0  0.0 218484  6352 ?        Ss   ago24   0:06 postgres: 12/main: walwriter   
postgres    1525  0.0  0.0 219048  4176 ?        Ss   ago24   0:03 postgres: 12/main: autovacuum launcher   
postgres    1526  0.0  0.0  72980  2720 ?        Ss   ago24   0:03 postgres: 12/main: stats collector   
postgres    1527  0.0  0.0 219044  3876 ?        Ss   ago24   0:00 postgres: 12/main: logical replication launcher   
joaofro+    1531  0.0  0.0  20140  5340 ?        Ss   ago24   0:01 /lib/systemd/systemd --user
joaofro+    1532  0.0  0.0 170172  2936 ?        S    ago24   0:00 (sd-pam)
eset-ee+    1537  0.0  0.0  29644  3080 ?        S    ago24   0:00 /opt/eset/eea/lib/logd
eset-ee+    1540  0.0  0.0 106784 14524 ?        Sl   ago24   1:15 /opt/eset/eea/lib/updated
root        1541  0.0  0.0  29832  2480 ?        S    ago24   2:16 /opt/eset/eea/lib/sysinfod
joaofro+    1543  0.9  0.0 4924340 9956 ?        Ssl  ago24  86:02 /usr/bin/pulseaudio --daemonize=no --log-target=journal
joaofro+    1545  0.0  0.0 857024  9560 ?        SNsl ago24   0:02 /usr/libexec/tracker-miner-fs
joaofro+    1549  0.0  0.0 388268  3824 ?        SLl  ago24   0:01 /usr/bin/gnome-keyring-daemon --daemonize --login
joaofro+    1554  0.0  0.0  10124  4960 ?        Ss   ago24   0:25 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
joaofro+    1556  0.0  0.0 164324  2440 tty2     Ssl+ ago24   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
rtkit       1558  0.0  0.0 152936   340 ?        SNsl ago24   0:04 /usr/libexec/rtkit-daemon
